Temps (s);Floor 10 UX ( m/sec²);Floor 9UX ( m/sec²);Floor 8 UX ( m/sec²);Floor 7 UX ( m/sec²);Floor 6 UX ( m/sec²);Floor 5 UX ( m/sec²);Floor 4 UX ( m/sec²);Floor 3 UX ( m/sec²);Floor 2 UX ( m/sec²);Floor 1 UX ( m/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²)
1.525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
